,sentence,triples
734,"other shaped slits were used, including vertical and diagonal apertures.","('shaped  slits', 'used', 'vertical  apertures')"
735,a new idea taken over from still photography was soft focus.,"('new  idea', 'was soft', 'still  photography')"
736,this untitled film was directed by photographer edward raymond turner and his patron frederick marshall lee.,"('untitled  film', 'directed by', 'edward raymond turner')"
737,"subsequently, in 1916, the technicolor technique arrived .","('subsequently technicolor technique', 'arrived', 'subsequently  1916')"
738,"american propaganda films included desperate journey , mrs.","('american propaganda films', 'included desperate', 'desperate  journey')"
739,it is often considered the greatest film of all time.,"('it', 'considered', 'greatest  time')"
740,gimmicks also proliferated to lure in audiences.,"('gimmicks', 'proliferated', 'also  audiences')"
741,"disney continued making animated films, notably; cinderella , peter pan , lady and the tramp , and sleeping beauty .","('disney', 'continued', 'notably peter beauty')"
742,limelight is probably a unique film in at least one interesting respect.,"('limelight', 'is', 'interesting  respect')"
743,"kurosawa films rashomon , ikiru , seven samurai  and throne of blood .","('', 'rashomon', 'seven kurosawa films blood')"
744,the hidden fortress was also the inspiration behind george lucas' star wars .,"('hidden  fortress', 'was', 'also star wars')"
745,no in 1962 would render the series popular worldwide.,"('series', 'render', '1962')"
746,bonnie and clyde is often considered the beginning of the so-called new hollywood.,"('bonnie', 'considered', 'new  hollywood')"
747,post-classical cinema is the changing methods of storytelling of the new hollywood producers.,"('classical  cinema', 'is', 'new hollywood producers')"
748,his jeet kune do style.,"('jeet kune', 'do', 'style')"
749,"the most popular indian film of all time was sholay ,","('indian  film', 'was', 'time')"
750,the same camera system was used to film spy kids,"('same camera system', 'used', 'spy kids')"
751,a silent film is a film with no synchronized recorded sound .,"('silent  film', 'is', 'recorded  sound')"
752,"pianists and organists would play either from sheet music, or improvisation.","('pianists', 'play', 'sheet music')"
753,the term silent film is a retronym—a term created to retroactively distinguish something.,"('silent  film', 'is', 'retroactively  something')"
754,small town and neighborhood movie theatres usually had a pianist.,"('town movie theatres', 'had', 'usually  pianist')"
755,w. griffith's groundbreaking epic the birth of a nation,"('w. griffith', 'epic', 'groundbreaking  nation')"
756,much silent film acting is apt to strike modern-day audiences as simplistic or campy.,"('silent  film', 'is apt', 'modern day audiences')"
757,vaudeville was an especially popular origin for many american silent film actors.,"('vaudeville', 'was', 'silent film actors')"
758,unless carefully shown at their intended speeds silent films can appear unnaturally fast or slow.,"('silent  films', 'appear', 'intended  speeds')"
759,— each frame being flashed two or three times on screen.,"('frame', 'flashed', 'times  screen')"
760,during the silent era projectors were commonly fitted with 3-bladed shutters.,"('', 'fitted with', '3-bladed era shutters')"
761,red represented fire and green represented a mysterious atmosphere.,"('represented  fire', 'represented', 'mysterious  atmosphere')"
762,the early studios were located in the new york city area.,"('early  studios', 'located in', 'york city area')"
763,"others films were shot in fort lee, new jersey.","('others films', 'shot in', 'fort lee')"
764,the amounts given are gross rentals  as opposed to exhibition gross.,"('amounts', 'are gross', 'gross exhibition gross')"
765,"the australian film doctor plonk , was a silent comedy directed by rolf de heer.","('australian film doctor plonk', 'was', 'silent rolf de heer')"
766,stage plays have drawn upon silent film styles and sources.,"('stage plays', 'drawn upon silent', 'silent film styles')"
767,blancanieves is a 2012 spanish black-and-white silent fantasy drama film written and directed by pablo berger.,"('blancanieves', 'is', 'silent pablo berger')"
768,right there is a 2013 short film that is an homage to silent film comedies.,"('short  that', 'is', 'silent film comedies')"
769,the sheep was released to positive reviews and was a box office success.,"('sheep', 'released to positive', 'positive  reviews')"
770,aardman animations also produced morph and timmy time as well as many other silent short films.,"('aardman animations', 'produced', 'also  morph')"
771,the film was made in the year 1989.,"('film', 'made in', 'year')"
772,most early forms of motion pictures or film were black and white.,"('early  forms', 'were black', 'motion pictures')"
773,color television became more widespread in the u.s.,"('color television', 'became', 'more  .')"
774,colour photography was originally rare and expensive and again often containing inaccurate hues.,"('colour photography', 'was', 'inaccurate  hues')"
775,color photography became more common from the mid-20th century.,"('color photography', 'became', 'mid-20th  century')"
776,sometimes color is reserved for the cover.,"('sometimes  color', 'reserved for', 'cover')"
777,many school yearbooks are still entirely or mostly in black-and-white.,"('many school yearbooks', 'are', 'entirely  black')"
778,most early forms of motion pictures or film were black and white.,"('early  forms', 'were black', 'motion pictures')"
779,color television became more widespread in the u.s.,"('color television', 'became', 'more  .')"
780,colour photography was originally rare and expensive and again often containing inaccurate hues.,"('colour photography', 'was', 'inaccurate  hues')"
781,color photography became more common from the mid-20th century.,"('color photography', 'became', 'mid-20th  century')"
782,sometimes color is reserved for the cover.,"('sometimes  color', 'reserved for', 'cover')"
783,many school yearbooks are still entirely or mostly in black-and-white.,"('many school yearbooks', 'are', 'entirely  black')"
784,it is the first film in the it film series.,"('it', 'is', 'first it film series')"
785,"wyatt oleff, jeremy ray taylor, sophia lillis, finn wolfhard, jack dylan grazer, chosen jacobs, nicholas hamilton, owen teague, jackson robert scott, and stephen bogaert are all featured in supporting roles.","('wyatt oleff', 'featured in', 'chosen stephen roles')"
786,it is the highest-grossing horror film of all time.,"('it', 'is', 'grossing horror time')"
787,kajganich also mentioned that warner bros.,"('kajganich', 'mentioned', 'also warner bros')"
788,"and now they're going to fight this evil, scary clown.","('now  they', 'going', 'scary  clown')"
789,: it's all about trying to hit the core and the heart.,"('it', ""'s"", 'all  core')"
790,i had a different approach.,"('i', 'had', 'different  approach')"
791,"the kids were really, really creeped out by bill.","('kids', 'were', 'really  bill')"
792,it was photographed with arri alexa xt,"('it', 'photographed with', 'arri')"
793,the look of the lenses is nearly the same.,"('look', 'is', 'lenses')"
794,and he were trying to capture a natural look.,"('he', 'trying', 'natural  look')"
795,it gives the character a child-like quality.,"('it', 'gives', 'like  quality')"
796,so i wanted to stray away from it as far as possible.,"('so  i', 'wanted', 'away  it')"
797,it was just out of sync.,"('it', 'was', 'just  sync')"
798,"but the overall response to his face and makeup seemed to be quite positive!on march 9, 2017,","('overall  response', 'seemed', 'face')"
799,"internationally, the film was released on approximately 10,560 screens.","('internationally  film', 'released on', '10,560  screens')"
800,the hollywood reporter reported that warner bros.',"('hollywood reporter', 'reported', 'that')"
801,", with brennan feeling skarsgård's performance was career defining, and deserving to be considered for awards season.","('performance', 'was', 'awards season')"
802,"wrote: that evil clown pennywise, a spectacularly scary bill skarsgård, is the stuff of nightmares.","('evil clown pennywise', 'wrote', 'scary bill nightmares')"
803,"ideally, we would start prep in march.","('ideally  we', 'start', 'march')"
804,part one is only about the kids.,"('part', 'is', 'only  kids')"
805,cinema historians and critics defined the category retrospectively.,"('cinema historians', 'defined', 'category')"
806,the movement's sensibility is mirrored in the warner bros.,"('sensibility', 'mirrored in', 'warner bros')"
807,the classic film noirs the maltese falcon  and the glass key  ,"('classic  film', 'noirs', 'maltese  falcon')"
808,"of the others, one was a small-studio release: detour.","('one', 'was', 'others')"
809,"it is technically a uk production, financed by 20th century-fox's british subsidiary.","('it', 'is', 'british century subsidiary')"
810,the neo-noir film genre developed mid-way into the cold war.,"('neo noir film genre', 'developed mid', 'cold  war')"
811,"christopher nolan's black-and-white debut, following , was an overt homage to classic noir.","('black christopher debut', 'was', 'classic  noir')"
812,the television series veronica mars  ,"('', 'series', '')"
813,the groundstar conspiracy  centers on another implacable investigator and an amnesiac named welles.,"('groundstar', 'conspiracy', 'implacable  investigator')"
814,film noir has been parodied many times in many manners.,"('film noir', 'parodied many', 'many  manners')"
815,carl reiner's black-and-white dead men don't wear plaid  ,"('dead carl men', 'wear', '')"
816,noir parodies come in darker tones as well.,"('noir parodies', 'come in darker', 'darker  tones')"
817,"belying its parodic strain, the long goodbye's final act is seriously grave.","('final  act', 'is', 'parodic  strain')"
818,still others focus on mood and attitude.,"('still  others', 'focus on', 'mood')"
819,no survey of classic noir's identifying characteristics can therefore be considered definitive.,"('survey', 'considered definitive', 'identifying  characteristics')"
820,characters' faces may be partially or wholly obscured by darkness,"('faces', 'obscured by', 'partially  darkness')"
821,—a relative rarity in conventional hollywood filmmaking.,"('', 'rarity in conventional', 'conventional  hollywood')"
822,robert montgomery is seen only in mirrors.,"('robert montgomery', 'seen', 'only  mirrors')"
823,"in their different ways, both sunset boulevard and d.o.a.","('', 'boulevard', 'different  ways')"
824,"certain archetypal characters appear in many film noirs—hardboiled detectives, femme fatales, corrupt policemen, jealous husbands, intrepid claims adjusters, and down-and-out writers.","('archetypal  characters', 'appear in many', 'many film noirs')"
825,"bars, lounges, nightclubs, and gambling dens are frequently the scene of action.","('bars', 'are', 'frequently gambling action')"
826,the soundtrack was composed by vidyasagar.,"('soundtrack', 'composed by', 'vidyasagar')"
827,the film was a moderate hit at the box office.,"('film', 'was', 'moderate box office')"
828,135 camera film always comes perforated with kodak standard perforations.,"('135 camera film', 'comes perforated', 'standard  perforations')"
829,135 film has been made in several emulsion types and sensitivities .,"('135  film', 'made in several', 'several emulsion types')"
830,the perforation size and pitch are according to the standard specification ks-1870.,"('perforation size', 'are according', 'standard  specification')"
831,this is specified as 38.00 mm.,"('this', 'specified as', '38.00  mm')"
832,12 exposure rolls have been used widely in the daily press.,"('12 exposure rolls', 'used', 'daily  press')"
833,"24×36 mm exposures seems to be the simplex, introduced in the u.s. in 1914.","('24×36  exposures', 'seems', '1914')"
834,the 335 was a daylight loading spool for the 24 × 23 mm stereo format.,"('335', 'was', '23 mm stereo format')"
835,"the first 35 mm single-lens reflex  was the kine exakta, introduced in 1936.","('single lens reflex', 'was', 'kine 1936')"
836,gods  is a 2014 polish dramatic feature film directed by łukasz palkowski.,"('gods', 'is', 'dramatic łukasz palkowski')"
837,afi is supported by private funding and public membership fees.,"('afi', 'supported by private', 'private  funding')"
838,"prior leaders were founding director george stevens, jr.  ","('prior  leaders', 'founding', 'director george stevens')"
839,"the film training program grew into the afi conservatory, an accredited graduate school.","('film training program', 'grew into', 'afi conservatory')"
840,"the first class included filmmakers terrence malick, caleb deschanel, and paul schrader.","('first  class', 'included', 'filmmakers terrence malick')"
841,"film producer richard gladstein became dean on july 1, 2017.","('producer richard gladstein', 'became', 'july')"
842,"the afi catalog, started in 1968, is a web-based filmographic database.","('started', 'is', '1968')"
843,each year the afi awards honor the ten outstanding films  and ten outstanding television programs .,"('year afi awards', 'honor', 'outstanding  films')"
844,the awards are a non-competitive acknowledgement of excellence.,"('awards', 'are', 'competitive  excellence')"
845,the american film market  is the market partner of afi fest.,"('american film market', 'is', 'afi fest')"
846,additional sponsors include american airlines and stella artois.,"('additional  sponsors', 'include', 'american  airlines')"
847,"afi docs  is a documentary festival in washington, d.c.","('afi docs', 'is', 'documentary  washington')"
848,"the festival attracts over 27,000 documentary enthusiasts.","('festival', 'attracts', '27,000 documentary enthusiasts')"
849,"the afi silver theatre and cultural center is a moving image exhibition, education and cultural center located in silver spring, maryland.","('silver theatre silver center', 'is', 'cultural silver spring')"
850,"working together, hobbs and deckard defeat brixton, who is remotely terminated afterwards by eteon's director.","('together defeat who', 'working', 'afterwards  director')"
851,the group celebrates their victory.,"('group', 'celebrates', 'victory')"
852,"lori pelenise tuisano portrays sefina hobbs, luke's mother.","('', 'lori', 'portrays sefina hobbs')"
853,"lyon beckwith, westley leclay and pingi moli portray luke's cousins.","('', 'beckwith', '')"
854,the character will be physically cast in a future film.,"('character', 'cast in', 'future  film')"
855,most filming was done at shepperton studios and warner bros.,"('most  filming', 'done at', 'shepperton studios')"
856,"production officially wrapped on january 27, 2019.","('production', 'wrapped on', 'officially  january')"
857,the same method was applied for the mclaren and the brixton bikes.,"('same  method', 'applied for', 'mclaren')"
858,idris elba was enhanced to gave him super-human abilities.,"('idris elba', 'enhanced', 'human  abilities')"
859,"finally, they handled the samoa chopper destruction.","('finally  they', 'handled', 'chopper  destruction')"
860,the latter was cyber scanned by clearangle.,"('latter', 'scanned by', 'cyber  clearangle')"
861,"a second trailer was released on april 18, 2019.","('second  trailer', 'released on', 'april')"
862,"the final trailer was released on june 28, 2019.","('final  trailer', 'released on', 'june')"
863,reald 3d conversion for the film was originally planned to release but was later cancelled.,"('reald 3d conversion', 'planned', 'film')"
864,"working together, hobbs and deckard defeat brixton, who is remotely terminated afterwards by eteon's director.","('together defeat who', 'working', 'afterwards  director')"
865,the group celebrates their victory.,"('group', 'celebrates', 'victory')"
866,"lori pelenise tuisano portrays sefina hobbs, luke's mother.","('', 'lori', 'portrays sefina hobbs')"
867,"lyon beckwith, westley leclay and pingi moli portray luke's cousins.","('', 'beckwith', '')"
868,the character will be physically cast in a future film.,"('character', 'cast in', 'future  film')"
869,most filming was done at shepperton studios and warner bros.,"('most  filming', 'done at', 'shepperton studios')"
870,"production officially wrapped on january 27, 2019.","('production', 'wrapped on', 'officially  january')"
871,the same method was applied for the mclaren and the brixton bikes.,"('same  method', 'applied for', 'mclaren')"
872,idris elba was enhanced to gave him super-human abilities.,"('idris elba', 'enhanced', 'human  abilities')"
873,"finally, they handled the samoa chopper destruction.","('finally  they', 'handled', 'chopper  destruction')"
874,the latter was cyber scanned by clearangle.,"('latter', 'scanned by', 'cyber  clearangle')"
875,"a second trailer was released on april 18, 2019.","('second  trailer', 'released on', 'april')"
876,"the final trailer was released on june 28, 2019.","('final  trailer', 'released on', 'june')"
877,reald 3d conversion for the film was originally planned to release but was later cancelled.,"('reald 3d conversion', 'planned', 'film')"
878,each film ran as long as there was film in the camera.,"('film', 'ran', 'long  camera')"
879,"by 1900, their films were extended scenes of up to 5 minutes long.","('films', 'were extended', '1900')"
880,– many directors and editors form a unique artistic bond.,"('many  directors', 'form', 'artistic  bond')"
881,"in motion picture terminology, a montage  is a film editing technique.","('motion picture terminology', 'is', '')"
882,classic examples include rocky and the karate kid.,"('classic  examples', 'include', 'rocky')"
883,there is one other requirement: the two shots must be approximate of the same tone value.,"('two  shots', 'be approximate', 'same tone value')"
884,"often assistant editors will perform temporary sound, music, and visual effects work.","('assistant  editors', 'perform temporary', 'temporary  sound')"
885,lower budget features and documentaries will also commonly have only one assistant.,"('lower budget features', 'have', 'one  assistant')"
886,the organizational aspects job could best be compared to database management.,"('organizational aspects job', 'compared', 'best  management')"
887,assistant editing can be seen as a career path to eventually becoming an editor.,"('assistant editing', 'seen as', 'career path')"
888,the avn awards are film awards sponsored and presented by the american adult video industry trade magazine avn .,"('avn awards', 'are', 'american trade magazine avn')"
889,they are called the oscars of porn.,"('they', 'called', 'porn')"
890,the xrco awards are given by the x-rated critics organization annually.,"('xrco awards', 'given by', 'rated critics organization')"
891,"these penny arcade attractions featured topless women, full frontal nudity, and even sexual coupling.","('penny arcade attractions', 'featured topless', 'topless  women')"
892,"casey donovan starred in the first mainstream pornographic hit,","('casey donovan', 'starred in', 'pornographic  hit')"
893,they are commonly in their 20s or 30s.,"('they', 'are', 'commonly  20s')"
894,the a is the chick on the boxcover.,"('a', 'is', 'boxcover')"
895,she has the power.,"('she', 'has', 'power')"
896,"five directors, five actors, five times five: she gets phone calls.","('times  she', 'gets', 'phone calls')"
897,and she stops getting phone calls.,"('she', 'stops', 'phone calls')"
898,will you do gangbangs?',"('you', 'do', 'gangbangs')"
899,they can't even get a phone call.,"('they', 'get', 'even phone call')"
900,"so it's girl-girl: $700, plus $100 for an anal toy.","('so  it', ""'s"", 'anal girl toy')"
901,most actresses in the adult industry are free agents –,"('most  actresses', 'are free', 'adult industry')"
902,they'll shoot for anyone.,"('they', 'shoot', 'anyone')"
903,"most contract girls make $60,000 a year.","('most contract girls', 'make', '$  60,000')"
904,"the average male makes $40,000 a year.","('average  male', 'makes', '$  40,000')"
905,these claims have been criticized by various public health authorities.,"('claims', 'criticized by various', 'public health authorities')"
906,but the breakdown voltage for dielectric films is usually nonlinear.,"('breakdown  voltage', 'is', 'dielectric  films')"
907,this can double the peak current rating.,"('this', 'double', 'current  rating')"
908,this film can therefore be made of a different and less expensive material.,"('film', 'made of', 'less  material')"
909,the highest surge-current rated film capacitors are film/foil capacitors with a metal foil construction.,"('rated film capacitors', 'are', 'film metal foil construction')"
910,"however, metal foil capacitors do not have self-healing properties.","('however metal foil capacitors', 'have', 'healing  properties')"
911,"an early special type of plastic film capacitors were the cellulose acetate film capacitors, also called mku capacitors.","('plastic film cellulose', 'were', 'film capacitors')"
912,characteristics of mixed film materials are not listed here.,"('characteristics', 'listed', 'mixed film materials')"
913,"they are manufactured both as metallized wound and stacked versions, as well as film/foil types.","('they', 'manufactured', 'metallized  wound')"
914,the table is not valid for capacitance values smaller than 50 pf.,"('table', 'is', '50 capacitance pf')"
915,"they are manufactured both as metallized wound and stacked versions, as well as film/foil types.","('they', 'manufactured', 'metallized  wound')"
916,they are produced only as metallized types.,"('they', 'produced', 'metallized  types')"
917,they are only produced as metallized types.,"('they', 'produced as metallized', 'metallized  types')"
918,"the dielectric absorption performance is excellent, behind only ptfe and ps dielectric capacitors.","('dielectric absorption performance', 'is excellent', 'dielectric  capacitors')"
919,ptfe is often known by the dupont trademark teflon.,"('ptfe', 'known by', 'often dupont trademark teflon')"
920,they are manufactured as wound metallized as well as film/foil types.,"('wound', 'manufactured', '')"
921,"but as of 2012, no specific pi capacitor series film capacitors have been announced.","('specific series film capacitors', 'announced', '2012')"
922,"the offered film capacitor, kapton capacitorcl11, announced from dhgate is a type: polypropylene film capacitor.","('offered film capacitor', 'is', 'kapton dhgate')"
923,the iec standards are harmonized with european standards en.,"('iec standards', 'harmonized with european', 'european  standards')"
924,many manufacturers continue to use these de facto standard abbreviations.,"('many  manufacturers', 'continue', 'standard  abbreviations')"
925,the required capacitance tolerance is determined by the particular application.,"('required capacitance tolerance', 'determined by', 'particular  application')"
926,the derating factors apply to both dc and ac voltages.,"('derating  factors', 'apply to', 'dc')"
927,"the allowable peak value of a superimposed alternating voltage, called the rated ripple voltage, is frequency-dependent.","('allowable peak value', 'called', 'alternating  voltage')"
928,film capacitors are not polarized and are suitable for handling an alternating voltage.,"('film capacitors', 'are', 'alternating  voltage')"
929,some capacitors are designed to minimise this effect.,"('capacitors', 'designed', 'effect')"
930,"if the series-equivalent values of a capacitor 
r
e
s
","('', 'values of', 'equivalent  capacitor')"
931,"the dissipation factor of film capacitors is frequency-, temperature- and time-dependent.","('dissipation factor', 'is', 'film capacitors')"
932,film capacitors are subject to certain very small but measurable aging processes.,"('film capacitors', 'are subject', 'aging  processes')"
933,two main advantages of film capacitors are very low esr and esl values.,"('main  advantages', 'are', 'film capacitors')"
934,snubber capacitors  require a very low self-inductance and very low esr capacitor construction.  ,"('snubber capacitors', 'require', 'very esr capacitor construction')"
935,"the most important criteria for this application are a low self-inductance, low esr, and very high peak current capability.","('important  criteria', 'are', 'application')"
936,the so-called snubber capacitors sometimes have some additional special construction features.,"('called snubber capacitors', 'have', 'special construction features')"
937,both ac and dc capacitors are available.,"('dc capacitors', 'are available', '')"
938,surge  discharge capacitors are also capable of supplying or absorbing extreme short-duration current surges.,"('surge discharge capacitors', 'are', 'current  surges')"
939,power capacitors can reach quite large physical dimensions.,"('power capacitors', 'reach', 'physical  dimensions')"
940,"today, most animations are made with computer-generated imagery .","('most  animations', 'made with', 'generated  imagery')"
941,animation is also prevalent in information technology interfaces.,"('animation', 'is', 'also information technology interfaces')"
942,winsor mccay's little nemo  showcased very detailed drawings.,"('little winsor nemo', 'showcased', 'detailed  drawings')"
943,"el apóstol  was a 1917 argentine animated film utilizing cutout animation, and the world's first animated feature film.","('el apóstol', 'was', 'animated cutout animation')"
944,terrytoons released tom terrific that same year.,"('terrytoons', 'released', 'tom terrific')"
945,"in 2008, the animation market was worth us$68.4 billion.","('animation market', 'was worth', '2008')"
946,"today, animators' drawings and the backgrounds are either scanned into or drawn directly into a computer system.","('today  drawings', 'scanned into', 'directly computer system')"
947,3d animation is digitally modeled and manipulated by an animator.,"('3d  animation', 'modeled', 'digitally  animator')"
948,the animator usually starts by creating a 3d polygon mesh to manipulate.,"('animator', 'starts by', 'usually 3d polygon mesh')"
949,traits common to both live-action and animated feature-length films are labor-intensity and high production costs.,"('traits', 'are', 'live  action')"
950,"the list of awardees is as follows:
","('list', 'is', 'awardees')"
951,"today, most animations are made with computer-generated imagery .","('most  animations', 'made with', 'generated  imagery')"
952,animation is also prevalent in information technology interfaces.,"('animation', 'is', 'also information technology interfaces')"
953,winsor mccay's little nemo  showcased very detailed drawings.,"('little winsor nemo', 'showcased', 'detailed  drawings')"
954,"el apóstol  was a 1917 argentine animated film utilizing cutout animation, and the world's first animated feature film.","('el apóstol', 'was', 'animated cutout animation')"
955,terrytoons released tom terrific that same year.,"('terrytoons', 'released', 'tom terrific')"
956,"in 2008, the animation market was worth us$68.4 billion.","('animation market', 'was worth', '2008')"
957,"today, animators' drawings and the backgrounds are either scanned into or drawn directly into a computer system.","('today  drawings', 'scanned into', 'directly computer system')"
958,3d animation is digitally modeled and manipulated by an animator.,"('3d  animation', 'modeled', 'digitally  animator')"
959,the animator usually starts by creating a 3d polygon mesh to manipulate.,"('animator', 'starts by', 'usually 3d polygon mesh')"
960,traits common to both live-action and animated feature-length films are labor-intensity and high production costs.,"('traits', 'are', 'live  action')"
961,"the list of awardees is as follows:
","('list', 'is', 'awardees')"
962,"the area consists of  jubilee hills, banjara hills, nanakramguda and madhapur.","('area', 'consists of', 'jubilee hills')"
963,"the closest mmts train station is at hitec city.
","('closest mmts train station', 'is at', 'hitec city')"
964,"with film cameras, a roll is usually completely exposed before being processed.","('film roll', 'exposed before', 'film cameras')"
965,there are some areas where film may have some advantages.,"('where  film', 'are', 'advantages')"
966,film and digital imaging systems have different cost emphases.,"('film', 'have different', 'different cost emphases')"
967,digital cameras are significantly more expensive to purchase than film equivalents.,"('digital  cameras', 'are', 'more film equivalents')"
968,prices are however dropping rapidly due to intense competition.,"('prices', 'dropping', 'intense  competition')"
969,"boris: the film  is a 2011 italian comedy film directed by giacomo ciarrapico, mattia torre and luca vendruscolo.","('film', 'boris', 'italian giacomo vendruscolo')"
970,"it is based on the television series boris.
","('it', 'based on', 'television series boris')"
971,schwarzenegger was later confirmed to be reprising his role.,"('schwarzenegger', 'confirmed', 'later  role')"
972,"the film's story was drafted and conceived by miller, cameron, and ellison.","('story', 'drafted', 'miller')"
973,– was hired to write the script.,"('', 'hired', 'script')"
974,she worked harder than anybody.,"('she', 'worked', 'harder  anybody')"
975,"in budapest, special effects supervisor neil corbould created the film's largest set piece:","('special effects supervisor neil', 'created', 'set  piece')"
976,"schwarzenegger completed filming on october 28, 2018.","('schwarzenegger', 'completed', 'october')"
977,"initially, certain scenes were filmed two different ways: with and without r-rated violence and language.","('certain  scenes', 'filmed', 'rated  violence')"
978,it was the subject of some misogynistic internet comments.,"('it', 'was', 'misogynistic internet comments')"
979,"the film's theatrical and international trailers were released on august 29, 2019.","('theatrical  trailers', 'released on', 'august')"
980,"the game was released on september 6, 2019.","('game', 'released on', 'september')"
981,the t-800 model will also be a downloadable playable character in mortal kombat 11.,"('t-800 model', 'be', 'mortal  kombat')"
982,schwarzenegger was later confirmed to be reprising his role.,"('schwarzenegger', 'confirmed', 'later  role')"
983,"the film's story was drafted and conceived by miller, cameron, and ellison.","('story', 'drafted', 'miller')"
984,– was hired to write the script.,"('', 'hired', 'script')"
985,she worked harder than anybody.,"('she', 'worked', 'harder  anybody')"
986,"in budapest, special effects supervisor neil corbould created the film's largest set piece:","('special effects supervisor neil', 'created', 'set  piece')"
987,"schwarzenegger completed filming on october 28, 2018.","('schwarzenegger', 'completed', 'october')"
988,"initially, certain scenes were filmed two different ways: with and without r-rated violence and language.","('certain  scenes', 'filmed', 'rated  violence')"
989,it was the subject of some misogynistic internet comments.,"('it', 'was', 'misogynistic internet comments')"
990,"the film's theatrical and international trailers were released on august 29, 2019.","('theatrical  trailers', 'released on', 'august')"
991,"the game was released on september 6, 2019.","('game', 'released on', 'september')"
992,the t-800 model will also be a downloadable playable character in mortal kombat 11.,"('t-800 model', 'be', 'mortal  kombat')"
993,suspense is often maintained as an important plot element.,"('suspense', 'maintained as', 'important plot element')"
994,mystery films mainly focus with solving a crime or a puzzle.,"('mystery films', 'focus with', 'mainly  crime')"
995,"the women in these films are often resourceful individuals, being self-reliant, determined and as often duplicitous.","('women', 'are', 'films')"
996,the earliest mystery films reach back to the silent era.,"('earliest mystery films', 'reach', 'silent  era')"
997,the film was remade twice more in 1953 and 1971.,"('film', 'remade', 'more  1953')"
998,"two films, now believed lost, were made in 1909 and 1914.","('two  films', 'made in', 'now  1909')"
999,the story was remade again in 1993.,"('story', 'remade', 'again  1993')"
1000,"until recently, the only american-made series starred basil rathbone and nigel bruce as holmes and dr.","('made  series', 'until', 'starred nigel .')"
1001,"a few silent charlie chan films, now lost, were produced in the 1920s.","('silent charlie chan films', 'produced in', 'now  1920s')"
1002,"monogram responded by creating their own gentlemanly oriental detective, mr.","('monogram', 'responded by', 'oriental  detective')"
1003,the last film was released in 1937.,"('last  film', 'released in', '1937')"
1004,"the canary murder case , starring william powell as vance, has been called the first modern detective film.","('canary murder case', 'called', 'william vance')"
1005,"bradford , a breezy comedy-mystery that successfully replicated mgm's thin man formula.","('breezy comedy that', 'bradford', '')"
1006,there were also a great many low-budget old dark house mysteries based on a standard formula  that were plot- rather than,"('standard house that', 'were', 'standard house formula')"
1007,this film was filmed entirely from marlowe's viewpoint.,"('film', 'filmed', 'entirely  viewpoint')"
1008,"columbia produced a serial, chick carter, detective .","('columbia', 'produced', 'serial chick carter')"
1009,"in mysterious intruder , he was a private eye.","('mysterious  he', 'was', 'mysterious  intruder')"
1010,"his character was killed off and replaced by sanders' real-life brother, tom conway.","('character', 'killed', 'real life brother')"
1011,"this was made into and then there were none , directed by the french exile rené clair.  ","('this', 'made into', 'french exile rené clair')"
1012,"this premise has been used countless times, especially in old dark house genre horror films.","('premise', 'used countless', 'dark genre horror films')"
1013,kiss kiss bang bang  ,"('', 'kiss', 'bang bang')"
1014,are where you find them.,"('where  you', 'are', 'them')"
1015,the bride wore black  by françois truffaut.,"('bride', 'wore black', 'françois  truffaut')"
1016,"the film is part homage, part parody of the detective genre.","('film', 'is', 'detective part genre')"
1017,george peppard is a traditional private detective in p.j. .,"('george peppard', 'is', 'private  .')"
1018,robert culp and bill cosby are hard-luck private eyes in the downbeat and violent hickey & boggs .,"('robert culp', 'are hard', 'downbeat bill hickey')"
1019,"the series, philip marlowe: private eye , starred powers boothe as the hard-bitten detective.","('', 'series', 'bitten philip detective')"
1020,films with female detectives have not fared well.,"('films', 'fared', 'female  detectives')"
1021,"contemporary real-life serial killings have been portrayed in the alphabet killer, ed gein, gacy, ted bundy and dahmer.","('serial  killings', 'portrayed in', 'alphabet killer')"
1022,"main examples include: the morning after , shattered , the long kiss goodnight , memento , the bourne film series , and shutter island .","('main  examples', 'include', '')"
1023,"— in mulholland falls , and l.a.","('', 'in', 'mulholland falls')"
1024,"c. 1948, features an african-american private eye.","('c.', 'features', 'private  eye')"
1025,ursel is killed and both lena and daniel escape to the west german embassy.,"('lena', 'killed', 'german  embassy')"
1026,the later two certificate awards were discontinued from 15th national film awards .,"('two certificate awards', 'discontinued from 15th', 'national film awards')"
1027,award includes 'rajat kamal'  and cash prize.,"('award', 'includes', 'rajat  kamal')"
1028,i can play anything.,"('i', 'play', 'anything')"
1029,western theatre developed and expanded considerably under the romans.,"('western  theatre', 'developed', 'considerably  romans')"
1030,"dell'arte was an actor-centred theatre, requiring little scenery and very few props.","(""dell'arte"", 'was', 'very  props')"
1031,the plays utilised stock characters.,"('', 'plays', '')"
1032,puritans viewed the theatre as immoral.,"('puritans', 'viewed', 'theatre')"
1033,restoration comedy is notorious for its sexual explicitness.,"('restoration comedy', 'is notorious', 'sexual  explicitness')"
1034,henry irving  was the most successful of the british actor-managers.,"('henry irving', 'was', 'british actor managers')"
1035,"financially, much larger capital was required to operate out of a major city.","('larger  capital', 'required', 'major  city')"
1036,"formerly, in some societies, only men could become actors.","('only  men', 'become', 'formerly  societies')"
1037,some like it hot.,"('some', 'hot', 'it')"
