,sentence,triples
267,Zerdia Literal Similarity: Once there was an eagle named Zardia who nested on a rocky cliff.,"('Once Zerdia Literal who', 'Similarity', 'rocky  cliff')"
268,One day she saw a sportsman coming with a cross bow and some bolts that had no feathers.,"('cross that', 'saw', 'feathers')"
269,The sportsman attacked but the bolts missed.,"('bolts', 'attacked', '')"
270,Zardia realized that the sportsman wanted her tail feathers so she flew down and donated a few of her tail feathers to the sportsman.,"('tail she', 'realized', 'tail sportsman')"
271,The sportsman was pleased.,"('sportsman', 'was pleased', '')"
272,He promised never to attack eagles again.,"('He', 'promised', 'eagles')"
273,"The Identical TwinsOnce there were identical twins who were continually playing pranks on their family, friends, and teachers.","('identical  who', 'were identical', 'continually  family')"
274,The annual school picnic was always a big event for the twins.,"('annual school picnic', 'was', 'big  twins')"
275,There were races and other athletic events in which the twins won lots of prizes.,"('athletic  twins', 'were', 'prizes')"
276,One year a new student arrived who was a star runner.,"('who', 'arrived', '')"
277,The twins wanted to win the main event: the 2 mile race through the woods behind the school.,"('twins', 'wanted', '2 mile school')"
278,So they secretly devised a plan which would enable them to outdo the newcomer.,"('secretly  which', 'devised', 'newcomer')"
279,The day of the race arrived.,"('day', 'arrived', 'race')"
280,"Each runner was to pick his own path through the woods to a clearing, where a teacher stood posted to determine the winner.","('where  teacher', 'was', 'winner')"
281,"One twin entered the race, while the other excused himself on the grounds that he had hurt his leg in an earlier broad jumping event.","('he', 'entered', 'broad jumping event')"
282,The race began and the students rushed into the woods.,"('students', 'began', 'woods')"
283,The twin rushed into the woods and waited until the others had passed out of sight.,"('others', 'rushed into', 'sight')"
284,Then he went back to the school using a path hidden from the picnic area.,"('Then  he', 'went', 'back picnic area')"
285,"Shortly after, the other twin, who had been hiding behind a rock near the finish line of the race, burst out and ran into the clearing ahead of the other runners.","('who', 'burst', 'other  runners')"
286,The teacher named him the winner and marveled at the speed of his running.,"('teacher', 'named', 'running')"
287,Next year the twins switched places and thereafter maintained their status on this event.,"('year  twins', 'switched', 'thereafter  event')"
288,"The Asian Merchant CaseSyd, a recently promoted head buyer of a small retail clothing chain in the United States, had bought some wholesale leather boots from a large Asian manufacturer.","('Asian Merchant CaseSyd', 'bought', 'Asian leather manufacturer')"
289,All aspects of the deal had been successfully negotiated except the shipment of the boots.,"('aspects', 'negotiated except', 'successfully  boots')"
290,"Although Syd thought there might be potential difficulties in dealing with a large multinational conglomerate, she had decided to purchase boots from this rather than from several smaller available because of their aggressive pricing.","('multinational  she', 'decided', 'aggressive  pricing')"
291,The sales representative from the Asian company told Syd that they would pay to ship the boots by boat.,"('Asian  they', 'told', 'boat')"
292,Syd was concerned because the United States has announced that a trade embargo would likely be placed on all goods from that country in the near future.,"('trade embargo', 'concerned', 'near  future')"
293,The Asian sales representative told Syd not to worry because the boat would arrive at the U.S. dock before the embargo occurred.,"('U.S. embargo', 'told', 'U.S. dock')"
294,"Syd, however, thought that the boat would be late and that the multinational conglomerate policy to ship goods was not friendly to the needs of small businesses.","('multinational conglomerate policy', 'thought', 'small  businesses')"
295,Syd wanted the merchant to pay to ship the boots by air freight (which was substantially more expensive).,"('air which', 'wanted', 'air freight')"
296,The Asian sales representative refused because of the higher cost.,"('Asian sales representative', 'refused because', 'higher  cost')"
297,They argued about when the boat would arrive.,"('when  boat', 'argued about', '')"
298,"Syd considered breaking off the deal and buying the boots from her next best option, a small manufacturer.","('Syd', 'considered', 'best  option')"
299,"However, she did not like their product line as well and also wanted to try to establish a relationship with the large multinational conglomerate.","('However  she', 'like', 'multinational product conglomerate')"
300,"Finally, after a lengthy discussion in which it seemed that the negotiations might break off unsuccessfully, Syd suggested a new proposal to the sales representative from the Asian manufacturer.","('unsuccessfully  Syd', 'suggested', 'Asian sales manufacturer')"
301,They would send the boots by air freight but both sides would watch when the boat actually docks in the United States.,"('when  boat', 'send', 'actually United States')"
302,"If the boat happened to arrive on time (as the sales representative believed it would), Syd would pay for the added cost of air freight.","('Syd', 'pay for', 'added air freight')"
303,"However, if the boat were to arrive late (as Syd believed it would), the Asian manufacturer would pay the air freight bill.","('Asian  manufacturer', 'pay', 'air freight bill')"
304,"Syd and the Asian manufacturer were pleased with this proposal, and each party got the arrangement they wanted.","('they', 'were pleased', 'arrangement')"
305,Ernie was really encouraged about his interview for a security guard at the new factory in town.,"('Ernie', 'encouraged about', 'new security town')"
306,He thought he was saved.,"('he', 'thought', '')"
307,"Ernie went to the shopping mall and hunted around for a dark blue security guard uniform, and bought several.","('Ernie', 'went to', 'blue security guard several')"
308,The next day he received a phone call from the factory personnel director about the security guard position.,"('day  he', 'received', 'security guard position')"
309,Ernie was dismayed that he had wasted money.,"('he', 'dismayed', 'money')"
310,He didn't have a job.,"('He', 'have', 'job')"
311,The Wine MerchantsOne day a rich man found that his wine cellar was empty.,"('wine cellar', 'found', '')"
312,So he sent out messengers to announce a generous offer.,"('So  he', 'sent', 'generous  offer')"
313,The first person to bring the rich man a barrel of wine would be given a brick of solid gold.,"('first  person', 'given', 'solid  gold')"
314,"However, the offer would expire at sundown.","('However  offer', 'expire at', 'sundown')"
315,Two wine merchants heard the news.,"('Two wine merchants', 'heard', 'news')"
316,Each had a horse drawn cart loaded with large barrels of wine.,"('Each', 'had', 'large  wine')"
317,They both set out for the duke palace at once.,"('They', 'set', 'duke palace')"
318,An hour before sundown they came to a place where the bridge had been washed out by a raging river.,"('where  bridge', 'came to', 'raging  river')"
319,The first merchant drove his horses and cart into the flood in a desperate attempt to reach the other side.,"('first  merchant', 'drove', 'other  side')"
320,But the horses were already exhausted and could not fight the current.,"('horses', 'were', 'already  current')"
321,"The cart overturned, and the horses, wine, and driver were washed away.","('horses', 'overturned', '')"
322,The second merchant tried a different tactic.,"('second  merchant', 'tried', 'different  tactic')"
323,"He poured the wine out of all but one of his barrels, and lashed them together to form a raft; then he loaded the one full barrel, a horse, and himself on top.","('then  he', 'loaded', 'full  top')"
324,He set the raft adrift and floated downstream.,"('He', 'set', 'adrift')"
325,In a few minutes the raft came to rest on the shore in front of the town where the rich man lived.,"('rich  man', 'came', 'town')"
326,"The merchant disembarked, loaded the wine barrel on the horse, and led it to the rich man house.","('merchant', 'disembarked', 'rich man house')"
327,"He arrived just as the sun was setting, and collected the gold brick as a reward for his efforts.","('just  sun', 'arrived', 'gold efforts')"
328,"Two bowls are on a table, one within the child reaph and one farther away.","('Two  bowls', 'are on', 'child reaph')"
329,"One bowl contains a number of small gumballs, and the other is empty.","('small  other', 'contains', 'small  gumballs')"
330,"Also on the table is an aluminum walking cane, a large rectangular sheet of heavy paper (posterboard), a hollow cardboard tube long enough to reach the farther bowl, child safe scissors, string, tape, paper clips, and rubber bands.","('', 'is', 'farther cardboard bowl')"
331,"The task is to use the materials provided, to transferr the balls from the filled bowl to the empty bowl without leaving their seat.","('task', 'is', 'empty  seat')"
332,Tumor:Suppose you are a doctor faced with a patient who has a malignant tumor in his stomach.,"('who', 'Suppose', 'malignant  stomach')"
333,"It is impossible to operate on the patient, but unless the tumor is destroyed the patient will die.","('patient', 'is impossible', 'patient')"
334,There is a kind of ray that can be used to destroy the tumor.,"('that', 'is', 'tumor')"
335,"If the rays reach the tumor all at once at a sufficiently high intensity, the tumor will be destroyed.","('high  tumor', 'destroyed', 'high  intensity')"
336,"Unfortunately, at this intensity the healthy tissue that the rays pass through on the way to the tumor will also be destroyed.","('rays', 'destroyed', 'tumor')"
337,"At lower intensities the rays are harmless to healthy tissue, but they will not affect the tumor either.","('they', 'are harmless', 'tumor')"
338,"What type of procedure might be used to destroy the tumor with the rays, and at the same time avoid destroying the healthy tissue?","('type', 'used', 'healthy  tissue')"
339,"Unfortunately, many of the faculty in the Biology department at Fallsburg have strongpersonalities and big egos.","('Unfortunately  many', 'have', 'Biology strongpersonalities')"
340,"Inevitably, this has led to personality clashes among the faculty.","('Inevitably  this', 'led to', 'personality faculty')"
341,It is not uncommon for faculty meetings in this department to erupt into shouting matches.,"('It', 'is', 'faculty matches')"
342,"One result of these arguments is that the faculty rarely go to their University offices, exceptduring office hours to avoid running into their colleagues.","('faculty', 'is', 'rarely office colleagues')"
343,"Because the faculty are rarely intheir offices, undergraduates and graduate students alike complain that the faculty are inaccessible.","('intheir graduate faculty', 'complain', '')"
344,One of the most striking aspects of the Biology department is the tremendous financialsupport for research.,"('One', 'is', 'tremendous Biology research')"
345,One result of this has been a high level of motivation for faculty membersto excel at their research.,"('One  result', 'been', 'high faculty research')"
346,Faculty members in this department often spend long hourson their research.,"('Faculty members', 'spend long', 'long  research')"
347,"This hard work has paid off, as the department is among the top 10 of allBiology departments in its research reputation nationally.","('department', 'paid', '10 research reputation')"
348,"Having just been fired from a high level job, he decided to go to his church for counseling.","('high level he', 'decided', 'counseling')"
349,The pastor calmed the businessman.,"('pastor', 'calmed', 'businessman')"
350,The Commander:A military government was established after the elected government was toppled in a coup.,"('elected  government', 'established', 'coup')"
351,The military imposed martial law and abolished all civil liberties.,"('military', 'imposed martial', 'civil  liberties')"
352,A tank corp commander and his forces remained loyal to the overthrown civilian government.,"('tank corp commander', 'remained loyal', 'civilian  government')"
353,They hid in a forest waiting for a chance to launch a counterattack.,"('They', 'hid in', 'counterattack')"
354,The commander felt he could succeed if only the military headquarters could be captured.,"('military  headquarters', 'felt', '')"
355,The headquarters was located on a heavily guarded island situated in the center of a lake.,"('headquarters', 'located on', 'guarded  lake')"
356,The only way to reach the island was by way of several pontoon bridges that connected it to the surrounding area.,"('several pontoon that', 'was by', 'surrounding  area')"
357,"However, each bridge was so narrow and unstable that only a few tanks could cross at once.","('few  tanks', 'was', '')"
358,Such a small force would easily be repulsed by the defending troops.,"('small  force', 'repulsed by', 'defending  troops')"
359,The headquarters therefore appeared invincible.,"('headquarters', 'appeared invincible', '')"
360,"However, the tank commander tried an unexpected tactic.","('However tank commander', 'tried', 'unexpected  tactic')"
361,He secretly sent a number of tanks to locations near each bridge leading to the island.,"('He', 'sent', 'secretly  island')"
362,Then under cover of darkness the attack was launched simultaneously across each bridge.,"('Then  attack', 'launched', 'simultaneously  bridge')"
363,All of the groups of tanks arrived on the island together and immediately converged on the military headquarters.,"('All', 'arrived on', 'military  headquarters')"
364,They managed to capture the headquarters and eventually restore the civilian government.,"('They', 'managed', 'civilian  government')"
365,Once upon a time there lived a magical genie.,"('', 'lived', 'magical  genie')"
366,"He was a very old, wise, and rich genie indeed.","('He', 'was', '')"
367,"One day while he was polishing his home, which was actually a bottle, an old friend came up.","('old  friend', 'came', 'home')"
368,"The genie told his friend, I'm going to look for a bigger and better home to live in.","('I', 'told', 'bigger  home')"
369,Will you help me look?,"('me', 'help', '')"
370,So they began searching far and wide for another bottle.,"('So  they', 'began', 'far  bottle')"
371,Finally the genie found the perfect home.,"('Finally  genie', 'found', 'perfect  home')"
372,"It was larger, prettier, and not too far away from his old bottle.","('It', 'was larger', 'old  bottle')"
373,The genie was very excited and wanted to begin moving his be longings right away.,"('genie', 'was', 'very be longings')"
374,But now the genie had a prob lem.,"('now  genie', 'had', 'prob')"
375,He had a great many beautiful and very precious jewels in his old home.,"('He', 'had', 'old  home')"
376,He had to somehow get all the jewels from his old bottle to the new bottle without dropping or losing a single jewel.,"('He', 'had', 'single  jewel')"
377,"After thinking a bit, the genie came up with a wonderful idea.","('bit  genie', 'came', 'wonderful  idea')"
378,"He began searching for his magic staff, or wand.","('He', 'began', 'magic  staff')"
379,He then commanded his staff to stretch itself from his old home to his new home.,"('He', 'commanded', 'new  home')"
380,"Next, the genie tugged and pulled on his magical staff until at last he pulled the new bottle right up next to his old bottle.","('at  he', 'tugged', 'old  bottle')"
381,"At once, the genie began gathering his jewels together in his old home and simply dropped them carefully into his new home right next to him.","('once  genie', 'began', 'next  him')"
382,"When all his jewels were safely tucked away in his new home, the genie settled in happily.","('new  genie', 'settled in', 'new  home')"
383,He invited his friend to come in and admire his new home.,"('He', 'invited', 'new  home')"
384,"His friend came in and said, What a good house for you!","('friend', 'came', 'good  you')"
385,I'm sure you can still find the genie sitting in his new bigger and better bottle with all his jewels and smiling contentedly even today!,"('still  genie', ""'m sure"", 'bigger  jewels')"
386,"The biology department at Fallsburg teaches many of the pre medical courses for thestudents, and also prides itself on maintaining an active research program.","('biology department', 'teaches many', 'active research program')"
387,"Over the lastfew years, a number of the older faculty have taken advantage of an early retirement programoffered by the state, and, three younger faculty were lured to another school withoffers of higher salaries.","('younger  faculty', 'taken', 'higher school salaries')"
388,These departures have left the Biology department with fewer facultythan they would like to have.,"('fewer Biology they', 'left', 'fewer Biology facultythan')"
389,"Because there are fewer faculty than are needed in thisdepartment, it has been difficult for them to carry out all of the administrative work thatneeds to be done.","('them', 'been difficult', 'administrative work thatneeds')"
390,There are not enough faculty to organize meetings for faculty businessand to advise majors in biology.,"('', 'are', 'enough faculty biology')"
391,Many of the faculty in the biology department got their degrees in the 1960s.,"('Many', 'got', 'biology 1960s')"
392,This erahas clearly left its mark on the faculty.,"('erahas', 'left', 'clearly  faculty')"
393,"They are vocal proponents of environmental causes,and they often encourage their students to speak out on these issues.","('environmental  they', 'are vocal', 'often  issues')"
394,"Because of their wellknownstance as activists, many members of the faculty have been called to testify beforeCongress.","('many  members', 'called', 'faculty')"
395,"Consistent targetHaving just been fired from a high level job, he decided to go to his church for counseling.","('high level he', 'decided', 'counseling')"
396,The pastor calmed the businessman.,"('pastor', 'calmed', 'businessman')"
397,Inconsistent targetThe church was having trouble approaching local corporations for contributions to the shelter.,"('Inconsistent targetThe church', 'having', 'local  shelter')"
398,The executive soothed the priest.,"('executive', 'soothed', 'priest')"
399,Cue sentenceThe rabbi reassured the chairman.,"('Cue sentenceThe rabbi', 'reassured', 'chairman')"
400,"Set A, Theme I:","('', 'I', '')"
401,Ernie was really encouraged about his interview for a security guard at the new factory in town.,"('Ernie', 'encouraged about', 'new security town')"
402,He thought he was saved.,"('he', 'thought', '')"
403,"Ernie went to the shopping mall and hunted around for a dark blue security guard uniform, and bought several.","('Ernie', 'went to', 'blue security guard several')"
404,The next day he received a phone call from the factory personnel director about the security guard position.,"('day  he', 'received', 'security guard position')"
405,Ernie was dismayed that he had wasted money.,"('he', 'dismayed', 'money')"
406,He didn't have a job.,"('He', 'have', 'job')"
407,"Set A, Theme 2: Carl wasn't working at the time.","('2  Carl', 'working at', 'time')"
408,He was very concerned because he had very little left in his bank account.,"('very  he', 'was', 'little bank account')"
409,Several days later he had lunch with the president about becoming a broker.,"('later  he', 'had', 'president')"
410,Carl thought he had impressed people when he gave his resume to the investment firm.,"('when  he', 'thought', 'investment firm')"
411,"Carl went to the department store and tried on some suits, and got a few.","('Carl', 'went to', 'department few')"
412,He felt that he was moving up again.,"('he', 'felt', '')"
413,"Set B, Theme I:","('', 'B', '')"
414,Ronnie thought she had it made because she thought she had done well in the audition for a keyboard player.,"('she', 'thought', 'well keyboard player')"
415,"Ronnie went to the music store, played some electric organs, and then purchased one.","('Ronnie', 'went to', 'then music one')"
416,Later she got a message from the guitar player about playing keyboards.,"('Later  she', 'got', 'guitar keyboards')"
417,She wasn't in a band.,"('She', 'was', 'band')"
418,Ronnie was depressed that she had run up her credit card.,"('she', 'was depressed', 'credit card')"
419,"Set B, Theme 2: Cindy was upset that she had blown her savings.","('she', 'was upset', 'savings')"
420,She wasn't employed.,"('She', 'employed', '')"
421,Cindy was really happy about her tryout as dancer for a new musical.,"('Cindy', 'was', 'new  musical')"
422,That night she met the director about the dancer position.,"('night  she', 'met', 'dancer position')"
423,"Cindy got over to some stores, searched for, and bought some leotards.","('Cindy', 'got', 'leotards')"
424,She believed her troubles were over.,"('troubles', 'believed', '')"
425,The computer science department at Gordmont is widely acknowledged to be one of thefinest groups of its kind in the world.,"('computer science department', 'acknowledged', 'thefinest  world')"
426,"Recently, the department has begun to attract researchfunding from both federal granting agencies and private research foundations.","('Recently  department', 'begun', 'granting  agencies')"
427,"Currently,the department is one of the best funded departments on campus.","('Currently  department', 'is', 'funded  campus')"
428,"Despite the focus onresearch, the faculty have bonded together in a spirit of social activism.","('focus faculty', 'bonded', 'social  activism')"
429,The members ofthe department often organize campus wide events like a recycling awareness day.,"('department', 'organize', 'wide recycling awareness day')"
430,Fortress 3 Tunnel:A small country fell under the iron rule of a dictator.,"('small  country', 'Tunnel', 'iron dictator')"
431,The dictator ruled the country from a strong fortress.,"('dictator', 'ruled', 'strong  fortress')"
432,"The fortress was situated in the middle of the country, surrounded by farms and villages.","('fortress', 'situated in', 'farms')"
433,Many roads radiated outward from the fortress like spokes on a wheel.,"('Many  roads', 'radiated', 'outward  wheel')"
434,A great general arose who raised a large army at the border and vowed to capture the fortress and free the country of the dictator.,"('who', 'arose', 'large  dictator')"
435,The general knew that if his entire army could attack the fortress at once it could be captured.,"('it', 'knew', 'fortress')"
436,"His troops were poised at the head of one of the roads leading to the fortress, ready to attack.","('troops', 'poised at', 'fortress')"
437,"However, a spy brought the general a disturbing report.","('However  spy', 'brought', 'disturbing  report')"
438,The ruthless dictator had planted mines on each of the roads.,"('ruthless  dictator', 'planted', 'roads')"
439,"The mines were set so that small bodies of men could pass over them safely, since the dictator needed to be able to move troops and workers to and from the fortress.","('safely  dictator', 'set', 'fortress')"
440,"However, any large force would detonate the mines.","('large  force', 'detonate', 'mines')"
441,"Not only would this blow up the road and render it impassable, but the dictator would then destroy many villages in retaliation.","('dictator', 'blow', 'many  retaliation')"
442,"	The general, however, was undaunted.","('general', 'undaunted', '')"
443,He and his men dug an underground tunnel beneath the mines following the route of the road to the fortress.,"('He', 'dug', 'underground  fortress')"
444,"When the tunnel was dug, the men crawled through it until they arrived safely at the foot of the fortress.","('they', 'crawled through', 'safely  fortress')"
445,Here they all gathered together and attacked the fortress in full strength.,"('Here  they', 'gathered', 'full  strength')"
446,"In this way, the general was able to capture the fortress and overthrow the dictator.","('general', 'was able', 'dictator')"
447,"Fused Light bulb insufficient UltrasoundIn a physics lab at a major university, a very expensive light bulb which would emit precisely controlled quantities of light was being used in some experiments.","('controlled  quantities', 'used in', 'experiments')"
448,Ruth was the research assistant responsible for operating the sensitive light bulb.,"('Ruth', 'was', 'sensitive light bulb')"
449,One morning she came into the lab and found to her dismay that the light bulb no longer worked.,"('light  bulb', 'came into', 'dismay')"
450,She realized that she had forgotten to tum it off the previous night.,"('she', 'realized', 'previous  night')"
451,"As a result the light bulb overheated, and two wires in the filament inside the bulb fused together.","('two  wires', 'overheated', 'bulb')"
452,"The surrounding glass bulb was completely sealed, so there was no way to open it.","('surrounding glass bulb', 'was', 'so  it')"
453,"Ruth knew that the light bulb could be repaired if a brief, high intensity ultrasound wave could be used to jar apart the fused parts.","('high intensity ultrasound wave', 'knew', 'fused  parts')"
454,"Furthermore, the lab had the necessary equipment to do the job.","('Furthermore  lab', 'had', 'necessary  job')"
455,"However, the ultrasound machines only generated low intensity waves that were not strong enough to fuse the filament.","('low intensity that', 'generated low', 'enough  filament')"
456,She needed a much more intense ultrasound wave.,"('She', 'needed', 'ultrasound  wave')"
457,"So it seemed that the light bulb could not be repaired, and a costly replacement would be required.","('costly  replacement', 'seemed', '')"
458,Ruth was about to give up when she had an idea.,"('when  she', 'was about', 'idea')"
459,"She placed several ultrasound machines in a circle around the light bulb, and administered low intensity ultrasound waves from several directions all at once.","('She', 'placed several', 'several intensity ultrasound directions')"
460,"The waves all converged on the filament, where their combined effect was enough to jar apart the fused parts.","('combined  effect', 'converged on', 'fused  parts')"
461,"Ruth was greatly relieved that the light bulb was repaired, and she then went on to successfully complete the experiment.","('she', 'relieved', 'successfully  experiment')"
462,An engineer plans the construction of an artificial lake to produce electric energy.,"('engineer', 'plans', 'electric  energy')"
463,"According to his first plan, a single wide canal collects water coming from a valley and conveys it into the lake.","('wide  canal', 'collects', 'lake')"
464,"However, the engineer realizes that during the flood periods the stream of water flowing along the canal may be too strong and may damage the surrounding areas.","('flood stream', 'realizes', 'surrounding  areas')"
465,He also realizes that during the drought periods a single stream of water may be insufficient to feed the lake.,"('single drought stream', 'realizes', 'lake')"
466,"In order to avoid these mishaps, the engineer elaborates a second plan.","('engineer', 'elaborates', 'second  plan')"
467,"According to this plan, the lake is fed by four small canals whose total flow is the same as the single wide canal previously planned.","('total  flow', 'fed by', 'wide  canal')"
468,These small canals are placed around the lake so that they convey water coming from four different valleys.,"('they', 'placed around', 'different  valleys')"
469,In this way only small amounts of water can flow in each canal and thus during flood periods dangerous overflowings might not occur.,"('small  amounts', 'flow in', 'periods dangerous flood periods overflowings')"
470,"At the same time, the lake is fed by water from various valleys, so that also during drought periods it is sufficiently fed.","('also drought it', 'fed by', 'also drought periods')"
471,"Two small countries, Bolon and Salam, were adjacent to a large, warlike country calledMayonia.","('small  countries', 'were adjacent', 'large warlike country')"
472,Bolon decided to make the best of the situation by taking over Salam.,"('Bolon', 'decided', 'Salam')"
473,Salamstarted looking for aid from other strong countries but soon Bolon succeeded in taking itover.,"('soon  Bolon', 'looking for', 'itover')"
474,Then victorious Bolon proposed to make a treaty with its warlike neighbor Mayonia.,"('victorious  Bolon', 'proposed', 'warlike neighbor')"
475,Bolon proposed to give Mayonia control over Salam in exchange for a guarantee that Bolonwould remain independent.,"('Bolonwould', 'proposed', 'guarantee')"
476,Mayonia responded by overrunning both Bolon and Salam.,"('Mayonia', 'responded by', 'Bolon')"
477,"Bolon was so busy maintaining control of Salam, it could do nothing to stop Mayonia.","('so  it', 'do', 'Mayonia')"
478,Thereupon Mayonia installed puppet governments in both Bolon and Salam and took overthe newspapers and ratio stations.,"('Thereupon Mayonia', 'installed', 'puppet newspapers')"
479,The Political Science department has an odd mix of faculty.,"('Political Science department', 'has', 'odd  faculty')"
480,About half of the professorshave a strong interest in the role of Socialist and Marxist ideology in world government.,"('About  half', 'interest in', 'Socialist world government')"
481,"The other half of the faculty study the emergence of democratic republics, particularly inThird World nations.","('', 'half of', 'democratic faculty republics')"
482,"Despite these radically different orientations, most of the professorsare quite open minded.","('different  most', 'minded', 'professorsare')"
483,"In fact, the department recently organized a conference at whichboth groups gave talks about their findings.","('department', 'organized', 'whichboth  findings')"
484,"The conference was quite well received, and afavorable story about the meeting appeared in The Washington Post.","('afavorable  story', 'was', 'Washington Post')"
485,"The faculty in Political Science are quite active researchers, and almost all of them haveresearch grants from large government agencies.","('almost Political all', 'are', 'large government agencies')"
486,These grants provide the department withmoney to hire personnel.,"('grants', 'provide', 'department personnel')"
487,"Because of the large number of grants, the department has beenable to hire research assistants for every faculty member.","('large  department', 'has beenable', 'faculty member')"
488,A magpie named Sam sang all summer.,"('magpie', 'sang', '')"
489,"When winter came he paid avisit to a chipmunk and performed a ballad for her, hoping she would givehim some nuts in return.","('she', 'paid', 'return')"
490,"However, the chipmunk was not at all pleased.","('However  chipmunk', 'was', '')"
491,You don't deserve any nuts of mine!,"('You', 'deserve', 'mine')"
492,she exclaimed.,"('she', 'exclaimed', '')"
493,Your song was terrible.,"('song', 'was terrible', '')"
494,Percy the mockingbird spent the whole warm season chirping and twittering.,"('Percy  mockingbird', 'spent', 'warm season chirping')"
495,"When it began to get colder Percy visited a squirrel and sang a song for her, expecting to get some of the squirrel sunflower seeds in return.","('Percy', 'visited', 'squirrel sunflower return')"
496,"However, the squirrel was very disappointed in him.","('However  squirrel', 'was', 'very  him')"
497,You are a terrible singer!,"('You', 'are', '')"
498,she yel1ed. ',"('', 'she', '')"
499,Tm not giving you any of my wheat.,"('', 'giving', 'wheat')"
500,"A tear roUed down Percy cheek, and he vowed to give up singing for good.","('Percy cheek Percy he', 'tear', 'singing')"
501,Once there was a small country called Zerdia that learned to make the world smartestcomputer.,"('world', 'was', '')"
502,"Zerdia sold one of its supercomputers to its neighbor, Gagrach, so Gagrachwould promise never to attack Zerdia.","('so  Gagrachwould', 'promise', 'Zerdia')"
503,But one day Zerdia was overwhelmed by a surpriseattach from Gagrach.,"('day  Zerdia', 'overwhelmed by', 'Gagrach')"
504,As it capitulated the crippled government of Zerdia realized that theattacker missiles had been guided by Zerdian supercomputers.,"('theattacker missiles', 'realized', 'Zerdian  supercomputers')"
505,A magpie named Sam sang all summer.,"('magpie', 'sang', '')"
506,When winter came he paid avisit to a chipmunk.,"('he', 'paid', 'chipmunk')"
507,"However, the chipmunk was not at all pleased with Sam.","('However  chipmunk', 'was', 'all  Sam')"
508,You have wasted the summer while I have been hard at work!,"('I', 'wasted', 'work')"
509,shesaid.,"('', 'shesaid', '')"
510,Sam performed a ballad for her hoping she would give him some nutsin return.,"('she', 'performed', 'nutsin  return')"
511,But she was still not pleased.,"('she', 'was', '')"
512,I will not give you any of mynuts!,"('I', 'give', 'mynuts')"
513,she exclaimed.,"('she', 'exclaimed', '')"
514,The English department at Fallsburg is one of the largest departments at the University.,"('English  department', 'is', 'largest  University')"
515,The undergraduate students have consistently rated the faculty in this department as the best teachers on campus.,"('undergraduate  students', 'rated', 'best  campus')"
516,Their reputation as fine teachers has spread throughout the campusso that almost every student wants to take at least one English course during their studies.,"('every  student', 'spread throughout', 'English  studies')"
517,This popularity has caused most of the English courses to be oversubscribed.,"('most', 'caused most', 'English  courses')"
518,Studentsmust often wait over a year to get into the course of their choice.,"('Studentsmust', 'wait over', 'often  choice')"
519,"Unfortunately, many of the faculty in the English department have strong personalitiesand big egos.","('Unfortunately  many', 'have strong', 'big English egos')"
520,"Inevitably, this has led to personality clashes among the faculty.","('Inevitably  this', 'led to', 'personality faculty')"
521,It is notuncommon for faculty meetings in this department to erupt into shouting matches.,"('It', 'is', 'faculty matches')"
522,"Oneresult of these arguments is that the faculty rarely go to their University offices, except duringoffice hours to avoid running into their colleagues.","('faculty', 'is', 'rarely duringoffice colleagues')"
523,"A major aquarium in a city on the East Coast decided to create alarge aquarium display containing a replica of the sunken ocean linerthe Titanic amid the sea environment of its resting place, which isdeep in the Atlantic Ocean off the coast of Newfoundland.","('sunken resting which', 'decided', 'Atlantic Newfoundland')"
524,A professionalaquarium designer was assigned to the project.,"('professionalaquarium designer', 'assigned to', 'project')"
525,"She placed asmall replica of the vessel in the center of a large tank, with a realisticsea bed.","('She', 'placed', 'large realisticsea bed')"
526,Then she added to the tank sea plants and fish of the sortthat live in the Atlantic at the depth of the sunken Titanic.,"('Then  she', 'added to', 'sunken tank sea Titanic')"
527,Thedisplay was virtually finished when the designer was confronted witha major problem she had failed to anticipate.,"('major  she', 'finished', 'major  problem')"
528,"In order to maintainthe deep water environment required by the fish and plants, the tankhad to be kept quite dark, as the deep water organisms were notadapted to light.","('deep water organisms', 'notadapted to', 'light')"
529,"However, if the tank was kept completely dark,people would not be able to see the small replica of the Titanic in thecenter of the tank, which, after all, was the main point of the exhibit.","('small  which', 'be able', 'main  exhibit')"
530,Putting lights inside the model of the wreck looked too artificial.,"('Putting', 'looked', 'wreck')"
531,Thedesigner considered shining a powerful spotlight on the model of thevessel.,"('Thedesigner', 'considered', 'powerful  thevessel')"
532,"However, if the spotlight was located inside the tank, it wouldraise the temperature of the water too high; and if it was locatedoutside the tank, the bright beam seriously disrupted the feeding habits of some of the fish.","('bright  beam', 'wouldraise', 'feeding  fish')"
533,So it looked like the display was going tohave an embarrassing shortcoming.,"('display', 'looked', 'embarrassing  shortcoming')"
534,What could be done to light the display?,"('What', 'done', 'display')"
535,Write your solutionbelow.,"('', 'Write', 'solutionbelow')"
536,Remember to use the same principles that were used in thestories you read.,"('you', 'Remember', 'thestories')"
537,"Just before the display was to open, the designer hit upon a newidea.","('designer', 'hit upon', 'newidea')"
538,"She had several low powered spotlights placed at differentlocations around the outside of the tank, all focused on the replica ofthe ship.","('powered  all', 'had several', 'replica ofthe ship')"
539,"Each of the lights was quite dim, so the light averse fish werenot disturbed as they swam around the Titanic.","('they', 'was', 'Titanic')"
540,"But since all of thelights were focused on the ship, their beams added up so as toilluminate it enough that its realistic details could be seen by viewers.","('realistic  details', 'added', 'viewers')"
